9.093667902224615851e-01,6.500592300040485272e-01,4.546226263560366743e-01,1.441126859827390749e-01,8.549944626526029268e-03,5.616747062106813848e-01,6.703797997804112896e-01,9.904953467196977446e-01,5.347025166667740415e-03,2.291244469048761001e-01
7.423302051804839818e-01,3.586988320816031361e-02,5.086255670096831993e-01,8.300477462108466487e-01,6.780100135739351996e-01,7.117903193574346421e-01,5.907309992326859049e-02,5.729218616522387952e-01,4.027097751351496058e-01,9.570761080581535740e-01
5.448412622671252592e-01,5.385359297271654633e-01,9.679186457489163953e-01,3.231928356328966911e-01,3.968496749092753628e-02,1.719288186513671102e-01,5.177848869863472814e-01,9.709457084346704292e-01,7.696754668539397271e-01,4.903065860051580849e-01
4.548580255492057356e-01,7.636759558391721381e-01,5.943364877397406820e-01,6.582877456738089883e-01,1.063658036721061295e-01,3.607784369814526215e-01,9.272833025348029556e-01,4.416542320391387833e-01,2.867805364405165980e-01,2.509272780157877358e-01
5.199807495087226394e-01,4.070932088749567024e-01,1.674063892601350689e-01,7.296220162643410889e-01,8.364519235571508116e-01,6.929677178425089901e-01,8.149323959852722288e-01,4.853620493486661136e-01,8.906397641373932084e-01,6.220335386710263981e-01
6.581326787710454207e-01,2.802636422769513302e-01,9.554745262337908107e-01,9.592538293916632597e-01,1.142016149801317049e-02,9.898855228543590457e-02,3.176942031115306264e-01,5.321460856740579670e-01,7.995485933081420971e-01,6.692987870247477655e-01
3.029335705758408048e-01,7.886035243655984406e-01,3.728125437112628227e-01,3.077962580978380602e-01,2.113024697702264865e-01,7.174339093094628250e-02,2.173810110000182760e-01,9.424648834463870140e-01,9.724927089349715281e-01,8.468176076986432266e-01
1.128638859012303097e-01,4.699160518414198240e-01,4.825892183676576686e-01,6.670476799907497645e-01,2.875671146574287906e-01,2.807694082369767141e-01,4.914284662414207805e-01,7.400948878959302535e-01,5.738549977310047900e-01,8.921178499908101189e-01
6.646544998774381874e-01,2.806572259992146101e-03,8.615633973052894135e-02,5.864002090276150270e-01,1.507912017689928552e-01,4.010761695533049398e-03,8.567972224277303761e-01,7.222670162626494417e-01,6.024703624779783606e-01,2.047377025440445530e-01
5.749874420604101921e-01,2.269214744578517129e-01,6.577219731238314049e-01,1.137833097528664350e-01,1.210170299700283891e-01,6.885541594521106257e-01,5.734198497733901112e-01,8.068271560797314335e-01,3.079061057169040216e-01,5.158612107353821585e-02
