3.151225321016472014e-01,3.500535705771182782e-01,3.706817861992032226e-01,6.658264164410823138e-01
3.558413362049728246e-02,3.329901448488833404e-01,8.491122650455190657e-01,3.070997425384119905e-01
8.192209327565558308e-01,7.584840610424236074e-01,6.478655835980332567e-01,7.826750983721978416e-01
3.163208286855203610e-01,7.141012701606045399e-01,9.095110388015106295e-01,9.400372284099158815e-01
2.054346081140536739e-01,5.006785690197405048e-01,1.440702213875044713e-02,2.736299762717864237e-01
5.538902879430432913e-01,9.707493651470967544e-01,7.181372180154860230e-01,6.420221683945684932e-01
5.268489617574922956e-01,1.243158493498575101e-02,9.658899183363740537e-01,3.726418498364776344e-01
4.661937790153409811e-01,9.769882815992096958e-01,1.544915939851436715e-01,3.940154996421090239e-01
7.416959954317274839e-01,2.313907201156292226e-01,3.840199380844050436e-01,2.142654373121763989e-01
7.989766611262408835e-01,7.246596073415718653e-01,6.381367054138096240e-01,5.019016610649927879e-01
